pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
FF,2018-09-28,96.7,-3.3246,5.481,Jose Berrios,641553,621244,field_out,hit_into_play,,,,,4.0,Adam Engel pops out to second baseman Gregorio Petit.  ,R,R,R,MIN,CWS,X,4.0,popup,2,2,2018,-0.914,1.162,-0.6199,2.5401,,,,2,7,Top,143.27,126.74,,,553902.0,,180928_201705,9.3191,-140.5418,-4.9568,-14.2247,30.6366,-15.7921,3.5142,1.725,181.0,69.6,48.6,97.045,2378.0,6.467,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.0323,0.155,0.14800000000000002,0.0,1.0,0.0,0.0,3.0,53,5,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard
CU,2018-09-28,83.2,-3.5538,5.2481,Jose Berrios,641553,621244,,ball,,,,,14.0,,R,R,R,MIN,CWS,B,,,1,2,2018,1.686,-0.0742,0.1098,0.407,,,,2,7,Top,,,,,553902.0,,180928_201633,5.112,-120.913,-4.3958,14.9987,25.0289,-32.2373,3.5637,1.6752,,,,81.911,2478.0,5.632,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.8679,,,,,,,,53,4,Curveball,2,1,1,2,1,2,1,2,Standard,Standard
CU,2018-09-28,84.7,-3.4492,5.1982,Jose Berrios,641553,621244,,ball,,,,,14.0,,R,R,R,MIN,CWS,B,,,0,2,2018,1.1441,0.1307,1.8421,0.6985,,,,2,7,Top,,,,,553902.0,,180928_201612,10.0067,-122.949,-4.3593,9.4816,23.8564,-30.2583,3.5142,1.7001,,,,83.91,2335.0,5.859,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.641,,,,,,,,53,3,Curveball,2,1,1,2,1,2,1,2,Standard,Standard
FF,2018-09-28,95.7,-3.4713,5.3359,Jose Berrios,641553,621244,,swinging_strike,,,,,5.0,,R,R,R,MIN,CWS,S,,,0,1,2018,-0.7128,1.3302,-0.0816,2.7192,,,,2,7,Top,,,,,553902.0,,180928_201550,10.5631,-139.0204,-4.2866,-11.615,30.8078,-14.1255,3.7122,1.7747,,,,95.826,2428.0,6.43,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.0694,,,,,,,,53,2,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard
CU,2018-09-28,83.3,-3.5628,5.314,Jose Berrios,641553,621244,,called_strike,,,,,9.0,,R,R,R,MIN,CWS,S,,,0,0,2018,1.3875,0.1364,0.6389,1.5615,,,,2,7,Top,,,,,553902.0,,180928_201534,6.9183,-121.2165,-2.4654,12.2412,21.5293,-30.6366,3.7619,1.5262,,,,82.754,2399.0,5.72,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.7795,,,,,,,,53,1,Curveball,2,1,1,2,1,2,1,2,Standard,Standard
FT,2018-09-28,92.6,-3.3946,5.3041,Jose Berrios,641313,621244,grounded_into_double_play,hit_into_play,,,,,4.0,"Tim Anderson grounds into a double play, shortstop Jorge Polanco to second baseman Gregorio Petit to first baseman Tyler Austin.   Welington Castillo out at 2nd.  ",R,R,R,MIN,CWS,X,6.0,ground_ball,0,0,2018,-1.4845,0.8495,-0.3159,2.31,,,456078.0,0,7,Top,115.15,152.8,,,553902.0,,180928_201453,11.0985,-134.4437,-3.6755,-20.4191,28.8126,-21.272,3.4648,1.7251,7.0,98.2,-18.0,92.612,2222.0,6.395,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.1047,0.21600000000000003,0.182,0.0,1.0,0.0,0.0,2.0,52,1,2-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard
FT,2018-09-28,95.4,-3.4781,5.2505,Jose Berrios,456078,621244,walk,ball,,,,,14.0,Welington Castillo walks.  ,R,R,R,MIN,CWS,B,,,3,2,2018,-1.6211,0.5802,1.1097,1.0088,,,,0,7,Top,,,,,553902.0,,180928_201414,15.6748,-137.9762,-6.7864,-24.1097,28.1465,-23.4963,3.2418,1.5759,,,,95.443,2375.0,6.465,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.035,,,0.7,1.0,0.0,0.0,,51,6,2-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard
CU,2018-09-28,83.3,-3.863,5.1309,Jose Berrios,456078,621244,,ball,,,,,14.0,,R,R,R,MIN,CWS,B,,,2,2,2018,1.5343,0.2438,1.0522,1.6877,,,,0,7,Top,,,,,553902.0,,180928_201354,8.2349,-120.9015,-1.8474,13.0183,24.6015,-29.7183,3.2666,1.5049,,,,82.155,2360.0,5.763,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.7369,,,,,,,,51,5,Curveball,2,1,1,2,1,2,1,2,Standard,Standard
CU,2018-09-28,83.5,-3.6059,5.1664,Jose Berrios,456078,621244,,ball,,,,,14.0,,R,R,R,MIN,CWS,B,,,1,2,2018,1.5153,0.0081,2.9683,1.8033,,,,0,7,Top,,,,,553902.0,,180928_201337,12.0454,-120.9494,-1.2345,12.1541,24.2585,-32.0972,3.2418,1.6505,,,,82.328,2401.0,5.824,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.6759,,,,,,,,51,4,Curveball,2,1,1,2,1,2,1,2,Standard,Standard
CU,2018-09-28,82.1,-3.5703,5.2014,Jose Berrios,456078,621244,,swinging_strike,,,,,14.0,,R,R,R,MIN,CWS,S,,,1,1,2018,1.3531,-0.0929,0.5636,1.3467,,,,0,7,Top,,,,,553902.0,,180928_201257,6.7172,-119.3441,-1.9882,11.3568,22.4004,-32.9146,3.3162,1.5759,,,,81.077,2366.0,5.595,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.9047,,,,,,,,51,3,Curveball,2,1,1,2,1,2,1,2,Infield shift,Standard
